Ticker,Timeframe,Live_Price,Last_Candle_Close,Confidence,Signal,SL,TP,EMA_20,MACD,RSI_14,ATR,Vol_Ratio
ADA-USD,1d,0.47000501,0.47000501,0.5312,Hold,0.43942948,0.50058053,0.44316071,-0.02167544,52.7849,0.03057553,1.8657
AVAX-USD,1d,14.60524559,14.60524559,0.4686,Hold,13.68959326,15.52089792,14.28828977,-0.68162548,49.155,0.91565233,1.1049
BNB-USD,1d,898.8104248,898.8104248,0.4456,Hold,858.86009608,938.76075353,895.97101607,-14.55211316,48.3529,39.95032873,1.0715
BTC-USD,1d,92691.7109375,92691.7109375,0.4536,Hold,89001.24156665,96382.18030835,91571.62221891,-1758.75602712,49.8183,3690.46937085,1.0226
DOT-USD,1d,2.29178095,2.29178095,0.4599,Sell,2.63201753,1.78142608,2.31608416,-0.1545257,45.4776,0.17011829,1.3752
ETH-USD,1d,3321.11499023,3321.11499023,0.4681,Hold,3134.41128482,3507.81869564,3095.05360068,-37.57102373,57.8761,186.70370541,1.2612
MATIC-USD,1d,0.216415,0.216415,0.3424,Sell,0.24477743,0.17387136,0.2261701,-0.01852366,39.7452,0.01418121,0.1434
SOL-USD,1d,137.90161133,137.90161133,0.45,Sell,155.84339473,110.98893623,138.11735569,-5.00665597,46.9645,8.9708917,1.1838
USDT-USD,1d,1.000085,1.000085,0.4397,Buy,0.99608248,1.00608878,1.0000622,0.00013891,51.3807,0.00200126,1.0526
XRP-USD,1d,2.1084249,2.1084249,0.4213,Sell,2.34477509,1.75389962,2.13101586,-0.05465967,46.4465,0.11817509,0.8935
